Frame Index,Area Convex (px^2),Area Measured (px^2),Area (microns^2),Width (px),Height (px),Width (microns),Height (microns),Aspect Ratio,Porosity,Brightness,Deformation,Inertia Ratio,Principal Inertia Ratio
0,2093.0,2055.5,228.3889,42,64,14.0,21.3333,0.6562,1.0182,121.6679,0.0977,2.4592,0.4066
2,2305.5,2273.5,252.6111,48,62,16.0,20.6667,0.7742,1.0141,120.8802,0.0684,1.7042,0.5819
3,2939.0,2854.5,317.1667,42,90,14.0,30.0,0.4667,1.0296,117.2465,0.1812,5.2067,0.1915
4,3093.5,3007.5,334.1667,42,92,14.0,30.6667,0.4565,1.0286,120.5891,0.1726,5.0581,0.1972
5,1671.5,1638.0,182.0,36,62,12.0,20.6667,0.5806,1.0205,120.4231,0.1164,2.9908,0.3336
6,3222.0,3177.0,353.0,55,74,18.3333,24.6667,0.7432,1.0142,123.9609,0.0807,1.7994,0.5542
7,2993.0,2951.0,327.8889,53,71,17.6667,23.6667,0.7465,1.0142,124.3934,0.0728,1.8484,0.5408
8,2473.5,2435.5,270.6111,50,66,16.6667,22.0,0.7576,1.0156,124.3484,0.0772,1.7867,0.5596
10,2395.0,2359.0,262.1111,48,68,16.0,22.6667,0.7059,1.0153,121.1857,0.085,2.0323,0.4916
11,2498.5,2455.0,272.7778,46,71,15.3333,23.6667,0.6479,1.0177,125.3276,0.097,2.4429,0.4089
12,2275.0,2223.5,247.0556,43,66,14.3333,22.0,0.6515,1.0232,126.3508,0.0962,2.3074,0.4321
13,2794.0,2754.5,306.0556,46,79,15.3333,26.3333,0.5823,1.0143,119.3947,0.1152,2.9588,0.3376
14,1678.5,1640.0,182.2222,44,46,14.6667,15.3333,0.9565,1.0235,120.1066,0.1338,1.0989,0.8573
15,2989.0,2929.0,325.4444,52,79,17.3333,26.3333,0.6582,1.0205,126.3691,0.1013,2.3904,0.4173
16,1359.0,1326.5,147.3889,37,50,12.3333,16.6667,0.74,1.0245,121.5986,0.1364,2.1281,0.468
17,2777.5,2708.5,300.9444,42,87,14.0,29.0,0.4828,1.0255,123.0542,0.1656,4.4773,0.2228
18,1753.0,1722.5,191.3889,44,51,14.6667,17.0,0.8627,1.0177,119.4029,0.0647,1.3128,0.7414
19,2060.5,2007.0,223.0,51,57,17.0,19.0,0.8947,1.0267,124.9395,0.09,1.3369,0.735
20,5747.0,5632.0,625.7778,57,126,19.0,42.0,0.4524,1.0204,128.7262,0.1558,4.8747,0.2051
23,2429.0,2387.0,265.2222,39,78,13.0,26.0,0.5,1.0176,124.3884,0.132,4.0948,0.2442
24,2427.5,2386.5,265.1667,41,73,13.6667,24.3333,0.5616,1.0172,116.7814,0.1133,3.2075,0.3097
25,2749.5,2694.0,299.3333,45,76,15.0,25.3333,0.5921,1.0206,121.3986,0.112,3.0009,0.3306
26,2048.5,1971.5,219.0556,37,73,12.3333,24.3333,0.5068,1.0391,120.7148,0.2003,4.6092,0.2166
27,2959.5,2868.0,318.6667,45,90,15.0,30.0,0.5,1.0319,126.6586,0.1782,4.4439,0.225
28,608.0,583.5,64.8333,31,27,10.3333,9.0,1.1481,1.042,117.4745,0.1204,0.8813,0.8666
29,2510.5,2452.0,272.4444,36,90,12.0,30.0,0.4,1.0239,119.9706,0.1887,6.4741,0.1534
30,4371.0,4300.0,477.7778,56,100,18.6667,33.3333,0.56,1.0165,125.3481,0.1166,3.2024,0.3117
31,3190.0,3130.0,347.7778,47,93,15.6667,31.0,0.5054,1.0192,121.4534,0.1432,3.9293,0.2533
32,1358.0,1327.0,147.4444,32,55,10.6667,18.3333,0.5818,1.0234,118.0948,0.1119,3.0509,0.3267
33,1369.5,1338.0,148.6667,31,55,10.3333,18.3333,0.5636,1.0235,121.3125,0.1174,3.3436,0.2976
34,4209.5,3655.0,406.1111,42,142,14.0,47.3333,0.2958,1.1517,123.7093,0.3659,11.896,0.0686
35,5361.0,5153.0,572.5556,52,126,17.3333,42.0,0.4127,1.0404,127.4005,0.1993,6.2479,0.1592
36,2150.0,2115.5,235.0556,44,64,14.6667,21.3333,0.6875,1.0163,123.0274,0.0811,2.1235,0.4699
37,1932.0,1888.5,209.8333,41,60,13.6667,20.0,0.6833,1.023,122.7909,0.1025,2.2859,0.4348
38,2619.0,2579.5,286.6111,43,78,14.3333,26.0,0.5513,1.0153,124.5903,0.115,3.3338,0.2988
39,2918.5,2865.5,318.3889,43,90,14.3333,30.0,0.4778,1.0185,125.9322,0.1526,4.5207,0.221
40,2103.5,2048.5,227.6111,39,65,13.0,21.6667,0.6,1.0268,126.3246,0.1263,2.8121,0.3518
41,1330.0,1296.5,144.0556,40,44,13.3333,14.6667,0.9091,1.0258,121.1402,0.1105,1.4152,0.7065
42,2518.5,2479.0,275.4444,41,78,13.6667,26.0,0.5256,1.0159,124.0771,0.1227,3.7037,0.2698
43,3046.0,2998.0,333.1111,53,76,17.6667,25.3333,0.6974,1.016,124.0625,0.0837,2.1111,0.4736
44,2041.0,2009.0,223.2222,39,68,13.0,22.6667,0.5735,1.0159,123.9282,0.1092,3.0985,0.3218
45,1504.5,1457.5,161.9444,39,50,13.0,16.6667,0.78,1.0322,119.998,0.1183,1.9116,0.5219
46,2506.5,2450.0,272.2222,45,77,15.0,25.6667,0.5844,1.0231,121.4409,0.1285,3.143,0.3125
47,2141.0,2103.0,233.6667,38,72,12.6667,24.0,0.5278,1.0181,123.2027,0.1238,3.7568,0.2651
48,2818.5,2772.5,308.0556,44,84,14.6667,28.0,0.5238,1.0166,126.2013,0.1275,3.6587,0.2721
49,2631.0,2536.5,281.8333,42,86,14.0,28.6667,0.4884,1.0373,123.0832,0.2169,4.9337,0.2006
50,3961.5,3817.0,424.1111,46,118,15.3333,39.3333,0.3898,1.0379,126.0127,0.2387,7.227,0.1369
51,2051.5,2021.5,224.6111,38,69,12.6667,23.0,0.5507,1.0148,118.1903,0.1152,3.3586,0.2973
52,2264.0,2221.5,246.8333,42,72,14.0,24.0,0.5833,1.0191,122.5977,0.1125,2.988,0.3322
53,2919.5,2852.5,316.9444,50,77,16.6667,25.6667,0.6494,1.0235,128.7086,0.1198,2.6057,0.3802
54,2051.0,2019.0,224.3333,46,61,15.3333,20.3333,0.7541,1.0158,119.9331,0.0767,1.7554,0.5695
56,894.0,869.5,96.6111,36,32,12.0,10.6667,1.125,1.0282,121.0531,0.0976,0.8168,0.8138
57,2629.0,2575.0,286.1111,45,78,15.0,26.0,0.5769,1.021,123.1587,0.1254,3.1579,0.3166
58,2314.0,2255.0,250.5556,44,65,14.6667,21.6667,0.6769,1.0262,124.7903,0.1057,2.3377,0.4246
59,3473.5,3291.5,365.7222,39,123,13.0,41.0,0.3171,1.0553,127.5054,0.2816,9.7757,0.1023
60,2296.0,2255.0,250.5556,39,75,13.0,25.0,0.52,1.0182,121.8637,0.1287,3.7,0.2703
61,1343.5,1313.5,145.9444,38,43,12.6667,14.3333,0.8837,1.0228,122.4833,0.0867,1.3462,0.7068
62,3575.0,3510.5,390.0556,51,90,17.0,30.0,0.5667,1.0184,124.3684,0.1159,3.2039,0.3121
63,1189.5,1168.0,129.7778,34,44,11.3333,14.6667,0.7727,1.0184,122.9146,0.0988,1.8224,0.5456
64,2184.5,2139.0,237.6667,37,74,12.3333,24.6667,0.5,1.0213,126.7389,0.1366,4.1429,0.2403
65,1024.5,991.5,110.1667,28,50,9.3333,16.6667,0.56,1.0333,120.4227,0.1804,3.6739,0.2664
66,1848.0,1695.5,188.3889,31,92,10.3333,30.6667,0.337,1.0899,124.4936,0.3161,9.4906,0.1022
67,2065.5,2016.0,224.0,43,62,14.3333,20.6667,0.6935,1.0246,122.0482,0.1152,2.3042,0.4339
68,2706.5,2650.0,294.4444,47,78,15.6667,26.0,0.6026,1.0213,125.8748,0.1219,2.8276,0.3533
69,2388.5,2347.0,260.7778,41,76,13.6667,25.3333,0.5395,1.0177,125.6241,0.1239,3.4636,0.2879
70,4073.5,4004.0,444.8889,57,92,19.0,30.6667,0.6196,1.0174,119.0381,0.1122,2.7457,0.3635
71,2509.0,2468.0,274.2222,56,54,18.6667,18.0,1.037,1.0166,120.9507,0.0742,0.9153,0.7939
72,2302.0,2265.0,251.6667,47,62,15.6667,20.6667,0.7581,1.0163,118.2711,0.0749,1.7705,0.5572
73,2079.0,2049.0,227.6667,44,59,14.6667,19.6667,0.7458,1.0146,117.4513,0.0772,1.8759,0.5249
75,779.0,757.0,84.1111,38,27,12.6667,9.0,1.4074,1.0291,119.4498,0.1168,0.5519,0.5398
77,1975.0,1921.5,213.5,40,60,13.3333,20.0,0.6667,1.0278,120.7264,0.1229,2.3598,0.4134
78,2662.5,2581.5,286.8333,45,78,15.0,26.0,0.5769,1.0314,124.7099,0.1501,3.1876,0.3128
79,1969.0,1935.0,215.0,45,58,15.0,19.3333,0.7759,1.0176,122.7505,0.0719,1.7351,0.5694
80,3442.0,3396.5,377.3889,51,89,17.0,29.6667,0.573,1.0134,122.3846,0.1052,2.9606,0.3362
81,1871.5,1837.0,204.1111,48,50,16.0,16.6667,0.96,1.0188,122.999,0.0968,1.1476,0.7733
82,2277.5,2214.0,246.0,37,78,12.3333,26.0,0.4744,1.0287,122.3255,0.1606,4.7569,0.2093
83,2021.5,1970.0,218.8889,35,71,11.6667,23.6667,0.493,1.0261,123.1012,0.1475,4.299,0.2294
84,1915.0,1880.0,208.8889,37,67,12.3333,22.3333,0.5522,1.0186,121.8298,0.1185,3.327,0.3001
85,2059.0,2014.5,223.8333,45,61,15.0,20.3333,0.7377,1.0221,121.0182,0.0888,1.9376,0.5087
86,2734.0,2666.5,296.2778,43,85,14.3333,28.3333,0.5059,1.0253,125.2823,0.1568,4.1689,0.2396
87,3145.0,3083.5,342.6111,50,83,16.6667,27.6667,0.6024,1.0199,120.4711,0.1136,2.7942,0.3564
88,988.5,972.5,108.0556,44,30,14.6667,10.0,1.4667,1.0165,121.3683,0.1133,0.5078,0.5075
89,2350.5,2312.5,256.9444,46,68,15.3333,22.6667,0.6765,1.0164,124.6942,0.0889,2.2838,0.4371
90,1903.0,1874.0,208.2222,46,53,15.3333,17.6667,0.8679,1.0155,116.1501,0.0616,1.3342,0.7491
91,2038.5,1990.5,221.1667,45,60,15.0,20.0,0.75,1.0241,120.1348,0.102,1.7867,0.5524
92,3027.5,2978.5,330.9444,48,85,16.0,28.3333,0.5647,1.0165,126.3906,0.1255,3.1487,0.317
93,4169.5,4119.0,457.6667,61,87,20.3333,29.0,0.7011,1.0123,127.5531,0.085,2.077,0.4811
94,3161.0,3063.5,340.3889,43,94,14.3333,31.3333,0.4574,1.0318,126.036,0.1666,5.1732,0.1918
96,1987.5,1951.0,216.7778,40,65,13.3333,21.6667,0.6154,1.0187,120.8373,0.102,2.7406,0.361
97,1816.0,1780.5,197.8333,38,65,12.6667,21.6667,0.5846,1.0199,120.9358,0.1129,2.9881,0.3283
98,2230.0,2194.0,243.7778,46,66,15.3333,22.0,0.697,1.0164,121.0471,0.0843,2.0781,0.4796
99,1849.0,1798.0,199.7778,42,55,14.0,18.3333,0.7636,1.0284,121.7583,0.102,1.7809,0.5611
100,2513.5,2445.5,271.7222,40,85,13.3333,28.3333,0.4706,1.0278,125.08,0.1663,4.8539,0.2043
101,2090.5,2046.5,227.3889,46,59,15.3333,19.6667,0.7797,1.0215,121.1306,0.1171,1.7697,0.5648
102,2941.0,2888.5,320.9444,49,79,16.3333,26.3333,0.6203,1.0182,124.6502,0.1045,2.626,0.3808
103,2493.5,2443.0,271.4444,40,83,13.3333,27.6667,0.4819,1.0207,125.4103,0.153,4.3947,0.2265
104,1985.0,1948.0,216.4444,42,62,14.0,20.6667,0.6774,1.019,118.8306,0.1112,2.2806,0.4379
106,2624.0,2578.0,286.4444,38,86,12.6667,28.6667,0.4419,1.0178,124.4254,0.1571,5.2352,0.191
107,906.0,884.0,98.2222,34,35,11.3333,11.6667,0.9714,1.0249,123.7663,0.0947,1.1579,0.7598
108,1692.0,1642.5,182.5,39,52,13.0,17.3333,0.75,1.0301,118.758,0.102,1.8381,0.544
109,2677.0,2623.0,291.4444,48,75,16.0,25.0,0.64,1.0206,124.931,0.102,2.5589,0.3906
110,3207.5,3152.5,350.2778,41,102,13.6667,34.0,0.402,1.0174,124.6541,0.1918,6.5408,0.1523
111,470.5,458.5,50.9444,31,21,10.3333,7.0,1.4762,1.0262,118.2294,0.1107,0.466,0.4652
112,3155.0,3101.0,344.5556,49,85,16.3333,28.3333,0.5765,1.0174,118.884,0.1101,2.9106,0.3435
113,3209.5,3143.0,349.2222,50,85,16.6667,28.3333,0.5882,1.0212,121.5022,0.1199,2.9406,0.3401
114,2464.0,2424.0,269.3333,42,76,14.0,25.3333,0.5526,1.0165,125.2843,0.1134,3.3297,0.3001
115,1091.5,1048.5,116.5,38,40,12.6667,13.3333,0.95,1.041,123.869,0.1248,1.2679,0.6478
116,1821.0,1784.0,198.2222,42,58,14.0,19.3333,0.7241,1.0207,123.1202,0.0891,1.991,0.5002
117,3899.5,3782.5,420.2778,47,103,15.6667,34.3333,0.4563,1.0309,125.6587,0.1724,5.1692,0.1932
118,3234.0,3169.5,352.1667,46,91,15.3333,30.3333,0.5055,1.0204,124.6991,0.1438,3.9826,0.2492
119,3116.0,3043.5,338.1667,47,86,15.6667,28.6667,0.5465,1.0238,126.5672,0.142,3.4197,0.2923
120,1682.5,1647.0,183.0,41,56,13.6667,18.6667,0.7321,1.0216,121.3394,0.0848,1.9431,0.5049
121,2334.5,2286.5,254.0556,44,70,14.6667,23.3333,0.6286,1.021,121.7111,0.1184,2.5912,0.3859
122,2347.5,2286.0,254.0,40,78,13.3333,26.0,0.5128,1.0269,120.0627,0.1491,4.0946,0.2442
123,2429.5,2383.0,264.7778,42,75,14.0,25.0,0.56,1.0195,126.2887,0.1172,3.2917,0.3034
124,2511.0,2430.5,270.0556,44,76,14.6667,25.3333,0.5789,1.0331,117.7852,0.1309,3.2096,0.3107
126,414.0,381.0,42.3333,45,14,15.0,4.6667,3.2143,1.0866,127.2559,0.311,0.1017,0.1008
127,2500.0,2456.5,272.9444,49,67,16.3333,22.3333,0.7313,1.0177,124.2366,0.0806,1.9295,0.518
128,1223.5,1200.0,133.3333,43,35,14.3333,11.6667,1.2286,1.0196,124.2124,0.0865,0.7108,0.7091
129,2489.5,2435.0,270.5556,45,70,15.0,23.3333,0.6429,1.0224,121.555,0.1212,2.5927,0.3837
130,3110.0,3057.0,339.6667,48,83,16.0,27.6667,0.5783,1.0173,125.249,0.1159,3.0781,0.3249
131,1138.0,1111.0,123.4444,41,38,13.6667,12.6667,1.0789,1.0243,119.4966,0.1188,1.0201,0.9033
132,3499.5,3433.5,381.5,50,94,16.6667,31.3333,0.5319,1.0192,123.8067,0.1347,3.6515,0.2733
133,1878.5,1840.5,204.5,43,57,14.3333,19.0,0.7544,1.0206,121.1242,0.0973,1.9358,0.5155
134,2714.0,2649.0,294.3333,41,84,13.6667,28.0,0.4881,1.0245,123.3498,0.1702,4.5368,0.2201
135,4183.0,4065.5,451.7222,41,128,13.6667,42.6667,0.3203,1.0289,126.9277,0.2531,10.4277,0.0955
136,2027.5,1988.5,220.9444,44,60,14.6667,20.0,0.7333,1.0196,123.609,0.0798,1.9081,0.5219
137,2134.5,2088.0,232.0,41,68,13.6667,22.6667,0.6029,1.0223,121.8032,0.1214,2.8196,0.3543
138,2514.0,2461.5,273.5,44,76,14.6667,25.3333,0.5789,1.0213,126.7437,0.1151,2.9418,0.3399
139,3126.0,3071.5,341.2778,45,92,15.0,30.6667,0.4891,1.0177,122.1532,0.1443,4.3351,0.2306
140,718.0,687.0,76.3333,40,26,13.3333,8.6667,1.5385,1.0451,118.9593,0.1649,0.5274,0.4874
141,1701.5,1582.0,175.7778,30,76,10.0,25.3333,0.3947,1.0755,122.7987,0.2318,6.7796,0.145
143,2002.5,1962.5,218.0556,46,59,15.3333,19.6667,0.7797,1.0204,121.1267,0.0777,1.7127,0.5839
144,2322.0,2289.5,254.3889,49,61,16.3333,20.3333,0.8033,1.0142,125.2892,0.0694,1.5556,0.6408
145,3538.0,3485.0,387.2222,57,83,19.0,27.6667,0.6867,1.0152,125.7285,0.0867,2.1843,0.4533
147,2470.0,2366.0,262.8889,36,96,12.0,32.0,0.375,1.044,119.7935,0.2477,8.4829,0.1159
148,1924.5,1887.5,209.7222,39,65,13.0,21.6667,0.6,1.0196,123.4463,0.1035,2.8136,0.355
149,2105.0,2063.0,229.2222,42,65,14.0,21.6667,0.6462,1.0204,122.3847,0.0973,2.4834,0.4022
150,2091.5,2054.0,228.2222,42,65,14.0,21.6667,0.6462,1.0183,124.985,0.0933,2.4182,0.4135
151,1951.5,1902.5,211.3889,34,74,11.3333,24.6667,0.4595,1.0258,118.7221,0.1656,5.0854,0.1963
152,1406.0,1353.5,150.3889,31,55,10.3333,18.3333,0.5636,1.0388,116.7337,0.1438,3.3312,0.2961
153,1703.5,1669.0,185.4444,34,63,11.3333,21.0,0.5397,1.0207,119.8244,0.1226,3.533,0.2814
154,1833.0,1784.5,198.2778,37,65,12.3333,21.6667,0.5692,1.0272,124.2763,0.1198,3.2215,0.3103
155,3471.5,3426.5,380.7222,48,86,16.0,28.6667,0.5581,1.0131,122.9296,0.1212,3.1862,0.3135
156,4331.5,4257.0,473.0,50,107,16.6667,35.6667,0.4673,1.0175,124.1116,0.1528,4.5922,0.2177
157,1824.5,1795.5,199.5,40,59,13.3333,19.6667,0.678,1.0162,122.8967,0.0848,2.2456,0.4433
158,1578.0,1533.0,170.3333,36,53,12.0,17.6667,0.6792,1.0294,121.2749,0.1088,2.2465,0.4451
159,3547.0,3486.0,387.3333,50,91,16.6667,30.3333,0.5495,1.0175,121.3618,0.1255,3.4799,0.2873
160,3635.5,3557.0,395.2222,51,93,17.0,31.0,0.5484,1.0221,124.1317,0.1411,3.4122,0.2922
161,2890.0,2827.5,314.1667,45,81,15.0,27.0,0.5556,1.0221,125.5453,0.1203,3.3258,0.3007
162,1853.5,1822.5,202.5,42,57,14.0,19.0,0.7368,1.017,124.8913,0.0779,1.9488,0.512
163,3501.0,3441.0,382.3333,49,92,16.3333,30.6667,0.5326,1.0174,125.3331,0.1342,3.7382,0.2673
164,1794.5,1760.0,195.5556,39,56,13.0,18.6667,0.6964,1.0196,121.1341,0.0917,2.1509,0.4645
165,2351.0,2302.5,255.8333,44,68,14.6667,22.6667,0.6471,1.0211,126.1479,0.0942,2.4102,0.4133
166,2264.5,2229.0,247.6667,41,70,13.6667,23.3333,0.5857,1.0159,121.9593,0.102,2.9462,0.3342
167,2370.5,2335.5,259.5,44,71,14.6667,23.6667,0.6197,1.015,125.5742,0.0996,2.6962,0.3638
168,2149.5,2107.5,234.1667,43,67,14.3333,22.3333,0.6418,1.0199,120.187,0.1031,2.4901,0.4016
169,1911.5,1863.0,207.0,41,59,13.6667,19.6667,0.6949,1.026,120.7666,0.1158,2.2932,0.4341
170,2142.0,2098.5,233.1667,43,66,14.3333,22.0,0.6515,1.0207,121.1791,0.095,2.4166,0.4112
171,2307.0,2268.0,252.0,45,67,15.0,22.3333,0.6716,1.0172,121.8731,0.0867,2.2762,0.4381
173,3153.0,3099.5,344.3889,46,89,15.3333,29.6667,0.5169,1.0173,123.2527,0.1385,3.8767,0.2563
175,1919.0,1881.5,209.0556,46,52,15.3333,17.3333,0.8846,1.0199,120.6558,0.0698,1.3295,0.749
176,2409.5,2369.5,263.2778,53,62,17.6667,20.6667,0.8548,1.0169,127.4418,0.0702,1.4146,0.6757
177,2899.0,2820.5,313.3889,39,100,13.0,33.3333,0.39,1.0278,122.2718,0.2137,7.3413,0.1361
178,1890.0,1843.0,204.7778,36,63,12.0,21.0,0.5714,1.0255,123.7646,0.1299,3.1784,0.3116
179,1661.0,1616.0,179.5556,39,54,13.0,18.0,0.7222,1.0278,121.2475,0.1125,2.0566,0.4721
180,2726.5,2683.0,298.1111,45,78,15.0,26.0,0.5769,1.0162,128.2299,0.1194,2.9809,0.334
181,1850.0,1797.5,199.7222,39,64,13.0,21.3333,0.6094,1.0292,119.4321,0.1556,3.179,0.3061
182,2585.0,2525.5,280.6111,42,85,14.0,28.3333,0.4941,1.0236,120.8003,0.1594,4.2173,0.236
183,2287.0,2234.5,248.2778,47,67,15.6667,22.3333,0.7015,1.0235,119.7257,0.0987,2.1744,0.4545
184,1761.0,1711.5,190.1667,43,54,14.3333,18.0,0.7963,1.0289,120.6689,0.0888,1.6456,0.5694
