Frame Index,Area Convex (px^2),Area Measured (px^2),Area (microns^2),Width (px),Height (px),Width (microns),Height (microns),Aspect Ratio,Porosity,Brightness,Deformation,Inertia Ratio,Principal Inertia Ratio
0,1723.0,1691.0,187.8889,42,54,14.0,18.0,0.7778,1.0189,118.6807,0.0747,1.6799,0.5929
2,2061.0,2020.0,224.4444,42,65,14.0,21.6667,0.6462,1.0203,124.8469,0.0991,2.4052,0.415
3,1343.0,1307.5,145.2778,39,48,13.0,16.0,0.8125,1.0272,122.3911,0.0852,1.5856,0.5965
4,1606.0,1575.0,175.0,43,51,14.3333,17.0,0.8431,1.0197,123.3939,0.0695,1.406,0.7112
5,4862.0,4765.5,529.5,57,109,19.0,36.3333,0.5229,1.0202,117.1347,0.1339,3.8025,0.2626
6,3620.5,3498.5,388.7222,57,79,19.0,26.3333,0.7215,1.0349,118.3719,0.144,2.2013,0.4537
7,1826.5,1780.5,197.8333,42,60,14.0,20.0,0.7,1.0258,121.904,0.1085,2.1471,0.4653
8,1669.5,1619.0,179.8889,38,58,12.6667,19.3333,0.6552,1.0312,119.9225,0.1234,2.4172,0.4125
9,3480.5,3365.0,373.8889,46,92,15.3333,30.6667,0.5,1.0343,122.8445,0.1479,3.8654,0.2583
10,3394.5,3325.5,369.5,46,88,15.3333,29.3333,0.5227,1.0207,125.3202,0.1317,3.552,0.2814
13,2559.5,2510.5,278.9444,44,77,14.6667,25.6667,0.5714,1.0195,125.4702,0.1204,3.1055,0.3214
14,1849.5,1801.5,200.1667,40,58,13.3333,19.3333,0.6897,1.0266,116.7201,0.0916,2.1421,0.4668
15,1992.5,1951.5,216.8333,41,63,13.6667,21.0,0.6508,1.021,120.4186,0.0946,2.345,0.4263
16,1860.0,1801.0,200.1111,38,62,12.6667,20.6667,0.6129,1.0328,123.9047,0.1162,2.6556,0.3766
17,1906.5,1869.5,207.7222,44,57,14.6667,19.0,0.7719,1.0198,121.0886,0.0754,1.6819,0.5744
18,1487.0,1447.5,160.8333,43,44,14.3333,14.6667,0.9773,1.0273,121.5,0.0886,1.1292,0.7229
19,1904.5,1866.5,207.3889,46,57,15.3333,19.0,0.807,1.0204,117.4917,0.0835,1.5681,0.6375
20,1870.0,1834.0,203.7778,41,58,13.6667,19.3333,0.7069,1.0196,118.7945,0.0848,2.0303,0.4925
21,2144.5,2100.5,233.3889,47,63,15.6667,21.0,0.746,1.0209,124.6746,0.0808,1.74,0.5747
22,1579.5,1542.5,171.3889,38,51,12.6667,17.0,0.7451,1.024,121.6933,0.1046,1.8725,0.5318
23,2031.0,1982.0,220.2222,45,61,15.0,20.3333,0.7377,1.0247,126.9718,0.1034,2.0207,0.4949
24,1122.5,1082.0,120.2222,37,38,12.3333,12.6667,0.9737,1.0374,117.0588,0.0872,1.0602,0.9051
25,1255.0,1230.0,136.6667,36,45,12.0,15.0,0.8,1.0203,117.3569,0.068,1.536,0.6509
26,2044.5,2003.0,222.5556,46,60,15.3333,20.0,0.7667,1.0207,120.9533,0.0822,1.6985,0.5854
28,1826.5,1795.0,199.4444,37,62,12.3333,20.6667,0.5968,1.0175,121.5503,0.101,2.7707,0.3608
29,2053.0,1996.5,221.8333,38,71,12.6667,23.6667,0.5352,1.0283,123.1819,0.1381,3.6839,0.2702
30,1884.5,1838.0,204.2222,36,67,12.0,22.3333,0.5373,1.0253,124.0746,0.1613,3.713,0.2691
31,2891.0,2837.0,315.2222,44,84,14.6667,28.0,0.5238,1.019,123.909,0.1293,3.7169,0.269
33,1501.0,1457.0,161.8889,42,47,14.0,15.6667,0.8936,1.0302,122.6316,0.1071,1.2713,0.7737
34,3204.0,3155.0,350.5556,50,84,16.6667,28.0,0.5952,1.0155,126.575,0.1024,2.8134,0.3554
35,1666.0,1639.0,182.1111,43,51,14.3333,17.0,0.8431,1.0165,112.4062,0.0653,1.3942,0.7123
36,1667.0,1643.5,182.6111,43,51,14.3333,17.0,0.8431,1.0143,114.324,0.0604,1.3726,0.7205
37,1641.0,1604.0,178.2222,37,56,12.3333,18.6667,0.6607,1.0231,120.8113,0.1027,2.4005,0.4162
38,2028.0,1984.5,220.5,37,69,12.3333,23.0,0.5362,1.0219,124.5167,0.1273,3.4501,0.2897
39,1598.5,1568.0,174.2222,38,56,12.6667,18.6667,0.6786,1.0195,121.4291,0.0975,2.1601,0.4549
40,2514.5,2460.5,273.3889,48,69,16.0,23.0,0.6957,1.0219,125.767,0.0933,2.06,0.4854
41,2269.0,2226.5,247.3889,45,64,15.0,21.3333,0.7031,1.0191,126.6362,0.0915,2.1401,0.4669
43,867.5,846.0,94.0,37,31,12.3333,10.3333,1.1935,1.0254,123.4182,0.1081,0.7363,0.7359
44,2060.5,2021.0,224.5556,44,62,14.6667,20.6667,0.7097,1.0195,122.0148,0.0842,2.0208,0.4946
45,2115.5,2078.5,230.9444,45,62,15.0,20.6667,0.7258,1.0178,124.9949,0.0849,1.9752,0.5059
46,950.0,929.5,103.2778,35,34,11.6667,11.3333,1.0294,1.0221,115.7348,0.0855,0.9534,0.9524
47,1444.5,1417.5,157.5,39,50,13.0,16.6667,0.78,1.019,121.3912,0.074,1.6069,0.6067
48,1865.5,1838.0,204.2222,40,57,13.3333,19.0,0.7018,1.015,123.7032,0.0876,1.9825,0.4983
49,2403.0,2353.0,261.4444,44,71,14.6667,23.6667,0.6197,1.0212,126.0525,0.1122,2.6686,0.3747
50,2710.0,2658.5,295.3889,47,73,15.6667,24.3333,0.6438,1.0194,121.2834,0.1016,2.5028,0.3913
51,2137.5,2083.0,231.4444,43,67,14.3333,22.3333,0.6418,1.0262,120.7945,0.1225,2.7129,0.3673
52,1350.5,1303.5,144.8333,44,40,14.6667,13.3333,1.1,1.0361,118.3504,0.0933,0.9112,0.9
53,1843.0,1804.0,200.4444,48,53,16.0,17.6667,0.9057,1.0216,121.6489,0.0755,1.2865,0.7771
54,1766.5,1730.5,192.2778,40,60,13.3333,20.0,0.6667,1.0208,119.4317,0.0996,2.2901,0.4364
55,1728.0,1682.0,186.8889,39,58,13.0,19.3333,0.6724,1.0273,120.9875,0.1173,2.2769,0.4387
56,2538.5,2492.5,276.9444,44,74,14.6667,24.6667,0.5946,1.0185,124.488,0.1148,2.8162,0.3551
57,1732.5,1697.0,188.5556,38,58,12.6667,19.3333,0.6552,1.0209,124.2397,0.0933,2.4298,0.4102
58,2803.0,2747.0,305.2222,51,73,17.0,24.3333,0.6986,1.0204,121.7224,0.1054,2.182,0.456
59,441.5,421.5,46.8333,46,14,15.3333,4.6667,3.2857,1.0474,117.8209,0.2958,0.1006,0.1006
60,2316.5,2275.0,252.7778,42,73,14.0,24.3333,0.5753,1.0182,123.7856,0.1195,3.0224,0.3308
61,845.0,821.5,91.2778,34,32,11.3333,10.6667,1.0625,1.0286,120.125,0.0915,0.8981,0.8944
63,2419.0,2362.0,262.4444,43,73,14.3333,24.3333,0.589,1.0241,119.5925,0.1174,3.0349,0.3292
64,2032.0,1995.5,221.7222,40,59,13.3333,19.6667,0.678,1.0183,120.8893,0.0934,2.2021,0.4537
66,1744.5,1687.0,187.4444,36,66,12.0,22.0,0.5455,1.0341,123.7657,0.1471,3.6628,0.2711
68,1220.5,1188.0,132.0,37,41,12.3333,13.6667,0.9024,1.0274,125.6264,0.1076,1.2269,0.8131
69,3126.0,3058.5,339.8333,47,91,15.6667,30.3333,0.5165,1.0221,124.742,0.1448,3.6761,0.2713
72,1765.0,1719.5,191.0556,42,57,14.0,19.0,0.7368,1.0265,122.3942,0.0979,1.9751,0.5062
73,1607.0,1570.5,174.5,43,47,14.3333,15.6667,0.9149,1.0232,119.77,0.0757,1.2812,0.7804
74,1983.0,1945.5,216.1667,46,57,15.3333,19.0,0.807,1.0193,123.8474,0.0727,1.5978,0.6109
75,1821.0,1778.5,197.6111,41,60,13.6667,20.0,0.6833,1.0239,122.2572,0.0982,2.1826,0.454
76,1836.5,1795.5,199.5,40,60,13.3333,20.0,0.6667,1.0228,125.3722,0.1066,2.2916,0.436
77,2310.5,2265.0,251.6667,44,67,14.6667,22.3333,0.6567,1.0201,120.0588,0.0988,2.4662,0.4042
78,1778.5,1742.5,193.6111,45,49,15.0,16.3333,0.9184,1.0207,122.663,0.0865,1.2946,0.7204
79,1474.0,1442.5,160.2778,34,57,11.3333,19.0,0.5965,1.0218,121.1007,0.1121,2.7567,0.3627
80,1637.5,1602.5,178.0556,37,58,12.3333,19.3333,0.6379,1.0218,125.7039,0.0978,2.5145,0.3976
81,1904.0,1863.0,207.0,42,59,14.0,19.6667,0.7119,1.022,123.6481,0.0931,2.0794,0.4703
82,1849.0,1804.0,200.4444,42,60,14.0,20.0,0.7,1.0249,125.2312,0.1039,2.1469,0.4649
83,1296.0,1269.5,141.0556,42,40,14.0,13.3333,1.05,1.0209,121.003,0.0946,0.9854,0.9171
84,1998.5,1966.0,218.4444,43,61,14.3333,20.3333,0.7049,1.0165,122.5154,0.0819,2.0373,0.4865
85,1810.0,1763.0,195.8889,36,67,12.0,22.3333,0.5373,1.0267,123.6864,0.1382,3.7039,0.27
86,1817.0,1771.5,196.8333,36,67,12.0,22.3333,0.5373,1.0257,126.2612,0.139,3.4993,0.2824
87,2129.5,2087.0,231.8889,39,69,13.0,23.0,0.5652,1.0204,122.3684,0.1177,3.183,0.3136
88,1648.5,1620.5,180.0556,37,53,12.3333,17.6667,0.6981,1.0173,122.5617,0.0892,2.0746,0.4814
90,2345.5,2307.5,256.3889,42,72,14.0,24.0,0.5833,1.0165,125.4768,0.1011,2.8823,0.3462
91,1879.5,1832.0,203.5556,38,60,12.6667,20.0,0.6333,1.0259,121.4445,0.1105,2.5299,0.3951
92,2327.5,2270.5,252.2778,41,73,13.6667,24.3333,0.5616,1.0251,123.4894,0.123,3.2537,0.3072
93,3979.0,3909.5,434.3889,48,102,16.0,34.0,0.4706,1.0178,125.6985,0.1473,4.437,0.2247
94,2784.5,2743.5,304.8333,48,68,16.0,22.6667,0.7059,1.0149,126.2359,0.1001,2.0205,0.4887
98,1829.0,1784.0,198.2222,43,53,14.3333,17.6667,0.8113,1.0252,122.0781,0.0864,1.5672,0.6314
99,1942.0,1915.5,212.8333,45,56,15.0,18.6667,0.8036,1.0138,125.501,0.0641,1.5898,0.6237
100,2883.5,2826.0,314.0,50,74,16.6667,24.6667,0.6757,1.0203,119.7779,0.0998,2.3021,0.4333
101,3010.5,2963.5,329.2778,50,76,16.6667,25.3333,0.6579,1.0159,122.6173,0.0858,2.2982,0.4347
102,2245.0,2187.0,243.0,39,69,13.0,23.0,0.5652,1.0265,122.589,0.1338,3.2041,0.312
103,2714.5,2664.0,296.0,43,78,14.3333,26.0,0.5513,1.019,126.4086,0.1184,3.3804,0.2955
104,2812.0,2748.0,305.3333,50,76,16.6667,25.3333,0.6579,1.0233,123.5981,0.1073,2.3701,0.4218
106,1326.5,1303.5,144.8333,39,43,13.0,14.3333,0.907,1.0176,119.052,0.0748,1.2443,0.8034
107,1893.0,1847.0,205.2222,44,59,14.6667,19.6667,0.7458,1.0249,121.949,0.104,1.9227,0.4847
