Frame Index,Area Convex (px^2),Area Measured (px^2),Area (microns^2),Width (px),Height (px),Width (microns),Height (microns),Aspect Ratio,Porosity,Brightness,Deformation,Inertia Ratio,Principal Inertia Ratio,Poisson Ratio
0,3328.5,3279.0,364.3333,56,79,18.6667,26.3333,0.7089,1.0151,106.3197,0.0835,2.0296,0.4903,0.8419
1,1737.5,1703.5,189.2778,47,46,15.6667,15.3333,1.0217,1.02,105.7553,0.094,1.0376,0.9299,1.0108
2,2785.5,2748.0,305.3333,49,74,16.3333,24.6667,0.6622,1.0136,104.6098,0.0898,2.2981,0.4339,0.8137
4,2569.5,2483.5,275.9444,62,54,20.6667,18.0,1.1481,1.0346,108.474,0.1105,0.7642,0.7599,1.0715
7,3231.0,3177.0,353.0,55,76,18.3333,25.3333,0.7237,1.017,104.8127,0.0792,1.9275,0.5182,0.8507
8,2593.0,2548.0,283.1111,44,73,14.6667,24.3333,0.6027,1.0177,103.6124,0.1017,2.739,0.3651,0.7764
9,2721.0,2682.5,298.0556,47,74,15.6667,24.6667,0.6351,1.0144,106.4022,0.096,2.5356,0.3941,0.797
10,2980.0,2935.0,326.1111,51,76,17.0,25.3333,0.6711,1.0153,105.7539,0.0862,2.1431,0.4629,0.8192
11,2389.0,2346.0,260.6667,47,70,15.6667,23.3333,0.6714,1.0183,103.8995,0.0971,2.2829,0.4374,0.8194
12,2273.5,2227.0,247.4444,51,61,17.0,20.3333,0.8361,1.0209,102.6188,0.0916,1.4862,0.6682,0.9144
13,1766.5,1736.0,192.8889,40,55,13.3333,18.3333,0.7273,1.0176,104.0365,0.0829,1.8524,0.5368,0.8528
14,1889.0,1854.0,206.0,44,57,14.6667,19.0,0.7719,1.0189,105.8967,0.076,1.7545,0.5677,0.8786
15,2845.5,2790.0,310.0,47,77,15.6667,25.6667,0.6104,1.0199,105.7974,0.1035,2.7615,0.3617,0.7813
16,2713.5,2668.5,296.5,47,73,15.6667,24.3333,0.6438,1.0169,105.9808,0.0909,2.4873,0.402,0.8024
17,2483.5,2423.5,269.2778,45,76,15.0,25.3333,0.5921,1.0248,108.2729,0.122,2.8346,0.3518,0.7695
18,1788.5,1760.0,195.5556,42,52,14.0,17.3333,0.8077,1.0162,104.2852,0.0852,1.583,0.6104,0.8987
19,2642.5,2597.5,288.6111,45,74,15.0,24.6667,0.6081,1.0173,107.1034,0.1046,2.8447,0.3446,0.7798
20,2229.0,2197.0,244.1111,47,61,15.6667,20.3333,0.7705,1.0146,106.1041,0.0728,1.7436,0.5721,0.8778
21,2132.0,2093.0,232.5556,46,62,15.3333,20.6667,0.7419,1.0186,103.0848,0.0812,1.8727,0.5321,0.8614
22,640.5,615.0,68.3333,48,20,16.0,6.6667,2.4,1.0415,104.1441,0.2294,0.2047,0.2047,1.5492
23,1996.0,1965.5,218.3889,43,59,14.3333,19.6667,0.7288,1.0155,105.4848,0.0698,1.8606,0.5344,0.8537
24,1923.5,1883.0,209.2222,44,58,14.6667,19.3333,0.7586,1.0215,105.3139,0.08,1.8132,0.5514,0.871
26,2869.0,2823.0,313.6667,47,79,15.6667,26.3333,0.5949,1.0163,103.8372,0.1102,2.9547,0.3361,0.7713
27,1900.5,1872.5,208.0556,44,55,14.6667,18.3333,0.8,1.015,103.8915,0.0654,1.6025,0.6208,0.8944
28,2085.0,2045.5,227.2778,50,58,16.6667,19.3333,0.8621,1.0193,107.344,0.0719,1.4102,0.6972,0.9285
29,3071.5,3024.5,336.0556,51,79,17.0,26.3333,0.6456,1.0155,107.8685,0.0907,2.3943,0.4173,0.8035
30,2631.0,2577.0,286.3333,49,73,16.3333,24.3333,0.6712,1.021,106.4583,0.101,2.2335,0.4445,0.8193
31,5147.5,5079.0,564.3333,66,99,22.0,33.0,0.6667,1.0135,104.549,0.0861,2.2227,0.4499,0.8165
32,4533.5,4468.0,496.4444,67,81,22.3333,27.0,0.8272,1.0147,105.4621,0.0817,1.5353,0.6364,0.9095
33,2049.5,1997.0,221.8889,44,59,14.6667,19.6667,0.7458,1.0263,104.172,0.0933,1.8875,0.5284,0.8636
34,2486.5,2434.5,270.5,53,66,17.6667,22.0,0.803,1.0214,108.5952,0.091,1.7111,0.5834,0.8961
35,2798.5,2759.5,306.6111,48,74,16.0,24.6667,0.6486,1.0141,104.5284,0.092,2.4074,0.4142,0.8054
37,2936.5,2889.0,321.0,51,76,17.0,25.3333,0.6711,1.0164,108.0342,0.0883,2.2639,0.4415,0.8192
39,3532.5,3482.0,386.8889,51,88,17.0,29.3333,0.5795,1.0145,105.6952,0.1067,3.1217,0.32,0.7613
40,2694.0,2651.0,294.5556,50,65,16.6667,21.6667,0.7692,1.0162,105.4747,0.0922,1.7372,0.572,0.8771
42,2049.0,2008.5,223.1667,42,63,14.0,21.0,0.6667,1.0202,105.4717,0.0919,2.3239,0.4302,0.8165
43,2083.0,2044.5,227.1667,44,62,14.6667,20.6667,0.7097,1.0188,107.0259,0.082,2.0113,0.4961,0.8424
44,3115.5,3057.0,339.6667,50,81,16.6667,27.0,0.6173,1.0191,105.4559,0.1098,2.6736,0.374,0.7857
45,2655.0,2597.0,288.5556,49,68,16.3333,22.6667,0.7206,1.0223,103.9196,0.0947,2.0718,0.4827,0.8489
46,2158.5,2113.5,234.8333,42,70,14.0,23.3333,0.6,1.0213,106.2442,0.1251,2.8077,0.3554,0.7746
47,2666.0,2624.5,291.6111,47,74,15.6667,24.6667,0.6351,1.0158,108.0649,0.0916,2.4445,0.4078,0.797
48,1118.5,1098.0,122.0,37,38,12.3333,12.6667,0.9737,1.0187,103.3526,0.0854,1.052,0.9191,0.9868
49,1868.5,1837.0,204.1111,45,56,15.0,18.6667,0.8036,1.0171,106.7289,0.067,1.5747,0.6318,0.8964
50,2624.0,2581.0,286.7778,52,66,17.3333,22.0,0.7879,1.0167,106.0079,0.0685,1.6084,0.6214,0.8876
51,2686.5,2643.5,293.7222,51,67,17.0,22.3333,0.7612,1.0163,106.4007,0.0753,1.6693,0.584,0.8725
52,2280.5,2241.0,249.0,45,63,15.0,21.0,0.7143,1.0176,104.3716,0.0932,2.0141,0.4949,0.8452
53,3102.0,3027.5,336.3889,50,79,16.6667,26.3333,0.6329,1.0246,107.959,0.1084,2.3579,0.4215,0.7956
54,5552.0,5477.5,608.6111,68,106,22.6667,35.3333,0.6415,1.0136,108.0116,0.0938,2.3925,0.4172,0.8009
56,2392.5,2353.5,261.5,48,67,16.0,22.3333,0.7164,1.0166,106.099,0.0889,1.9758,0.5046,0.8464
