Frame Index,Area Convex (px^2),Area Measured (px^2),Area (microns^2),Width (px),Height (px),Width (microns),Height (microns),Aspect Ratio,Porosity,Brightness,Deformation,Inertia Ratio,Principal Inertia Ratio
0,2756.5,2689.5,298.8333,48,76,16.0,25.3333,0.6316,1.0249,104.4824,0.1072,2.534,0.3927
1,2380.5,2338.5,259.8333,46,70,15.3333,23.3333,0.6571,1.018,103.5149,0.1029,2.4394,0.4088
2,1905.0,1870.0,207.7778,44,54,14.6667,18.0,0.8148,1.0187,103.111,0.0888,1.5401,0.6274
3,2192.5,2151.0,239.0,46,65,15.3333,21.6667,0.7077,1.0193,105.7622,0.0934,2.036,0.4903
5,7743.5,7646.0,849.5556,80,124,26.6667,41.3333,0.6452,1.0128,104.9023,0.0978,2.4458,0.4074
6,1909.0,1873.0,208.1111,79,33,26.3333,11.0,2.3939,1.0192,103.2662,0.2087,0.2001,0.1995
7,3703.5,3662.0,406.8889,57,83,19.0,27.6667,0.6867,1.0113,102.0598,0.0812,2.0745,0.4818
8,1810.0,1759.0,195.4444,61,38,20.3333,12.6667,1.6053,1.029,103.3873,0.1266,0.4063,0.4035
9,3200.5,3155.5,350.6111,50,82,16.6667,27.3333,0.6098,1.0143,104.0805,0.0979,2.7008,0.3701
10,2070.0,2037.0,226.3333,42,63,14.0,21.0,0.6667,1.0162,103.8426,0.0886,2.2894,0.4366
11,4131.0,3770.5,418.9444,61,104,20.3333,34.6667,0.5865,1.0956,106.5923,0.2076,3.2797,0.2505
12,4131.0,0.0,0.0,1,1,0.3333,0.3333,1.0,1.0956,106.619,0.2076,3.2797,0.2505
13,3391.5,3207.5,356.3889,61,73,20.3333,24.3333,0.8356,1.0574,108.2989,0.1603,1.3198,0.4745
14,995.0,862.5,95.8333,72,18,24.0,6.0,4.0,1.1536,107.9905,0.4326,0.0644,0.063
15,4141.5,3769.0,418.7778,57,95,19.0,31.6667,0.6,1.0988,103.3597,0.1978,2.9884,0.3214
16,4349.0,4250.0,472.2222,61,97,20.3333,32.3333,0.6289,1.0233,103.7884,0.1284,2.7378,0.3626
17,2303.0,2253.0,250.3333,43,71,14.3333,23.6667,0.6056,1.0222,104.3305,0.1129,2.8499,0.3505
18,2778.5,2729.5,303.2778,54,69,18.0,23.0,0.7826,1.018,102.1289,0.0812,1.7714,0.5639
19,2692.0,2643.0,293.6667,51,66,17.0,22.0,0.7727,1.0185,103.2657,0.0813,1.7319,0.5773
20,2582.0,2546.0,282.8889,52,66,17.3333,22.0,0.7879,1.0141,104.6835,0.0692,1.6144,0.6185
21,3068.0,3014.5,334.9444,45,90,15.0,30.0,0.5,1.0177,105.9258,0.1372,3.8409,0.2603
22,3538.5,3484.0,387.1111,59,80,19.6667,26.6667,0.7375,1.0156,106.2171,0.0835,1.9079,0.5111
23,2190.0,2148.5,238.7222,45,67,15.0,22.3333,0.6716,1.0193,103.1783,0.1009,2.2874,0.4372
24,2938.5,2901.5,322.3889,57,69,19.0,23.0,0.8261,1.0128,104.012,0.0643,1.5256,0.6535
25,2680.0,2633.0,292.5556,56,60,18.6667,20.0,0.9333,1.0179,104.2726,0.0792,1.1892,0.8409
26,1913.5,1876.0,208.4444,47,55,15.6667,18.3333,0.8545,1.02,102.4561,0.0686,1.4191,0.7045
27,1712.5,1672.0,185.7778,39,55,13.0,18.3333,0.7091,1.0242,102.832,0.0906,2.0872,0.4783
28,1946.0,1904.5,211.6111,43,62,14.3333,20.6667,0.6935,1.0218,105.8413,0.0914,2.1319,0.469
29,2774.5,2735.0,303.8889,51,73,17.0,24.3333,0.6986,1.0144,105.4628,0.092,2.1091,0.4713
30,2572.5,2529.0,281.0,53,66,17.6667,22.0,0.803,1.0172,105.9705,0.0763,1.6427,0.6074
31,3162.0,3106.5,345.1667,50,83,16.6667,27.6667,0.6024,1.0179,102.6064,0.1083,2.8387,0.352
32,3168.0,3090.5,343.3889,53,81,17.6667,27.0,0.6543,1.0251,104.0282,0.1079,2.4252,0.4119
33,2277.5,2232.0,248.0,46,66,15.3333,22.0,0.697,1.0204,104.5908,0.0923,2.1176,0.471
34,2382.5,2339.5,259.9444,49,64,16.3333,21.3333,0.7656,1.0184,105.3527,0.0836,1.7956,0.5567
35,2318.0,2283.5,253.7222,48,63,16.0,21.0,0.7619,1.0151,106.5154,0.0706,1.7367,0.5755
36,3355.5,3307.0,367.4444,55,80,18.3333,26.6667,0.6875,1.0147,101.2602,0.0926,2.2215,0.4499
37,3240.5,3160.5,351.1667,56,76,18.6667,25.3333,0.7368,1.0253,102.2686,0.104,1.9804,0.5045
39,2433.5,2387.0,265.2222,46,68,15.3333,22.6667,0.6765,1.0195,104.4391,0.0886,2.1515,0.4566
40,3283.5,3233.0,359.2222,63,69,21.0,23.0,0.913,1.0156,102.3067,0.1161,1.336,0.747
43,2598.0,2554.5,283.8333,47,73,15.6667,24.3333,0.6438,1.017,102.9973,0.0948,2.4106,0.4148
44,1554.5,1524.0,169.3333,46,42,15.3333,14.0,1.0952,1.02,102.2674,0.083,0.8711,0.8635
45,2215.5,2164.5,240.5,42,70,14.0,23.3333,0.6,1.0236,104.398,0.1146,2.7682,0.361
46,2223.0,2180.0,242.2222,47,66,15.6667,22.0,0.7121,1.0197,104.4931,0.0972,2.1102,0.4734
47,2966.5,2927.0,325.2222,52,74,17.3333,24.6667,0.7027,1.0135,105.562,0.0787,2.0597,0.4849
48,2966.5,2920.5,324.5,55,73,18.3333,24.3333,0.7534,1.0158,107.0538,0.0793,1.8248,0.5471
49,2146.0,2113.5,234.8333,45,61,15.0,20.3333,0.7377,1.0154,105.4505,0.0729,1.8591,0.5362
50,2637.0,2583.5,287.0556,51,72,17.0,24.0,0.7083,1.0207,103.8198,0.0994,2.1128,0.4731
54,2518.5,2477.5,275.2778,52,61,17.3333,20.3333,0.8525,1.0165,103.3436,0.0686,1.3875,0.7085
55,2916.5,2878.5,319.8333,49,77,16.3333,25.6667,0.6364,1.0132,105.4046,0.094,2.4921,0.3998
56,2884.0,2821.0,313.4444,42,88,14.0,29.3333,0.4773,1.0223,106.4728,0.152,4.47,0.2225
57,2022.5,1983.0,220.3333,41,65,13.6667,21.6667,0.6308,1.0199,104.135,0.1032,2.4629,0.405
58,1909.0,1871.0,207.8889,44,58,14.6667,19.3333,0.7586,1.0203,104.4061,0.0764,1.727,0.5727
59,3483.0,3420.0,380.0,54,85,18.0,28.3333,0.6353,1.0184,104.9898,0.1012,2.5717,0.3846
60,2590.5,2552.0,283.5556,46,71,15.3333,23.6667,0.6479,1.0151,104.2706,0.0903,2.4391,0.4065
61,2513.0,2471.5,274.6111,46,69,15.3333,23.0,0.6667,1.0168,104.9961,0.096,2.3984,0.4121
62,3086.5,3056.0,339.5556,51,76,17.0,25.3333,0.6711,1.01,103.8047,0.0727,2.171,0.4593
63,2420.0,2375.0,263.8889,47,69,15.6667,23.0,0.6812,1.0189,105.1807,0.0876,2.1812,0.4585
64,1865.5,1836.0,204.0,42,58,14.0,19.3333,0.7241,1.0161,103.9749,0.0824,1.9056,0.5248
65,2235.5,2192.5,243.6111,46,66,15.3333,22.0,0.697,1.0196,103.8882,0.0934,2.1703,0.4599
66,2770.0,2716.0,301.7778,49,76,16.3333,25.3333,0.6447,1.0199,104.5431,0.1039,2.5243,0.394
67,1966.0,1919.5,213.2778,46,60,15.3333,20.0,0.7667,1.0242,102.8273,0.1223,1.7008,0.5749
68,3014.5,2932.0,325.7778,49,91,16.3333,30.3333,0.5385,1.0281,104.9947,0.1492,3.2254,0.3089
69,2694.5,2661.0,295.6667,46,73,15.3333,24.3333,0.6301,1.0126,102.616,0.0896,2.5464,0.3907
70,2189.0,2144.5,238.2778,45,58,15.0,19.3333,0.7759,1.0208,102.3839,0.0837,1.705,0.5861
71,2470.5,2418.5,268.7222,49,68,16.3333,22.6667,0.7206,1.0215,103.6897,0.0861,1.985,0.5037
72,1743.0,1704.5,189.3889,40,60,13.3333,20.0,0.6667,1.0226,103.4068,0.1,2.4147,0.4135
73,4053.0,4000.5,444.5,65,82,21.6667,27.3333,0.7927,1.0131,102.569,0.0666,1.6208,0.6124
74,1845.0,1819.5,202.1667,61,39,20.3333,13.0,1.5641,1.014,101.9478,0.1086,0.4031,0.4002
75,3352.0,3277.5,364.1667,47,95,15.6667,31.6667,0.4947,1.0227,103.9037,0.157,4.4976,0.2214
76,2510.0,2465.0,273.8889,50,69,16.6667,23.0,0.7246,1.0183,102.4435,0.0881,2.0084,0.4968
77,1349.0,1318.0,146.4444,50,35,16.6667,11.6667,1.4286,1.0235,103.0166,0.1098,0.5304,0.5302
78,1383.0,1364.5,151.6111,50,38,16.6667,12.6667,1.3158,1.0136,98.1069,0.1151,0.6324,0.6183
79,3075.5,3027.5,336.3889,56,77,18.6667,25.6667,0.7273,1.0159,102.1488,0.0859,1.9249,0.5173
80,2295.5,2261.0,251.2222,45,66,15.0,22.0,0.6818,1.0153,103.8061,0.084,2.1901,0.456
81,2266.0,2222.0,246.8889,47,63,15.6667,21.0,0.746,1.0198,105.0213,0.0861,1.8305,0.545
82,2991.0,2937.0,326.3333,52,78,17.3333,26.0,0.6667,1.0184,104.6368,0.1001,2.3029,0.4337
83,2634.0,2597.5,288.6111,51,68,17.0,22.6667,0.75,1.0141,101.9922,0.0762,1.8253,0.5478
84,1966.5,1934.0,214.8889,45,58,15.0,19.3333,0.7759,1.0168,105.8605,0.0722,1.6647,0.6007
85,2979.5,2939.0,326.5556,52,75,17.3333,25.0,0.6933,1.0138,103.3373,0.0805,2.1003,0.4761
86,3830.0,3771.5,419.0556,59,83,19.6667,27.6667,0.7108,1.0155,105.1522,0.0887,2.0342,0.4915
87,3531.0,3476.5,386.2778,57,80,19.0,26.6667,0.7125,1.0157,104.0654,0.0869,1.9887,0.5006
88,2194.5,2165.0,240.5556,56,48,18.6667,16.0,1.1667,1.0136,103.6913,0.0865,0.744,0.7366
90,2083.5,2040.0,226.6667,43,59,14.3333,19.6667,0.7288,1.0213,102.0679,0.0872,1.9005,0.524
91,2465.0,2428.0,269.7778,49,67,16.3333,22.3333,0.7313,1.0152,103.098,0.0815,1.87,0.5333
92,2052.5,2013.0,223.6667,44,62,14.6667,20.6667,0.7097,1.0196,103.4303,0.0861,2.0647,0.4842
93,1799.5,1755.5,195.0556,38,64,12.6667,21.3333,0.5938,1.0251,103.117,0.1148,2.9424,0.338
94,2205.5,2171.0,241.2222,43,69,14.3333,23.0,0.6232,1.0159,102.6262,0.095,2.5867,0.3858
95,2365.0,2323.0,258.1111,47,67,15.6667,22.3333,0.7015,1.0181,103.3235,0.0976,2.0955,0.4772
96,1935.0,1893.5,210.3889,46,56,15.3333,18.6667,0.8214,1.0219,105.0361,0.0742,1.5381,0.649
97,1728.0,1692.5,188.0556,42,57,14.0,19.0,0.7368,1.021,106.5923,0.0853,1.9037,0.5253
98,2883.5,2837.0,315.2222,48,78,16.0,26.0,0.6154,1.0164,105.6098,0.098,2.5865,0.3866
99,2680.0,2628.5,292.0556,47,72,15.6667,24.0,0.6528,1.0196,105.3943,0.1066,2.4632,0.406
100,3941.0,3878.0,430.8889,55,93,18.3333,31.0,0.5914,1.0162,104.4789,0.1038,2.9186,0.3407
103,2386.5,2335.0,259.4444,43,71,14.3333,23.6667,0.6056,1.0221,104.5682,0.1079,2.8074,0.3556
104,1514.0,1488.0,165.3333,40,51,13.3333,17.0,0.7843,1.0175,102.6351,0.0658,1.6104,0.6208
105,1616.5,1582.0,175.7778,42,52,14.0,17.3333,0.8077,1.0218,105.1851,0.0746,1.5857,0.6255
